"";"Kingdom";"Phylum";"Class";"Family";"Genus";"Species";"Average.annual.cost";"Cumulated.cost";"Number.estimates";"Number.year.values"
"253";"Animalia";"Arthropoda";"Insecta";"Bostrichidae";"Prostephanus";"Prostephanus truncatus";0,377176796249876;18,1044862199941;14;39
"762";"Animalia";"Arthropoda";"Insecta";"Gelechiidae";"Phthorimaea";"Phthorimaea operculella";0,37509535703686;18,0045771377693;2;3
"778";"Viruses";NA;NA;"Avsunviroidae";NA;"Peach latent mosaic viroid";0,372648754370708;17,887140209794;1;2
"166";"Animalia";"Arthropoda";"Insecta";"Thripidae";"Scirtothrips";"Scirtothrips perseae";0,372120952953946;17,8618057417894;2;2
"617";"Animalia";"Mollusca";"Gastropoda";"Achatinidae";"Achatina";"Achatina fulica";0,370857092309658;17,8011404308636;4;8
"879";"Animalia";"Arthropoda";"Arachnida";"Tetranychidae";"Oligonychus";"Oligonychus metasequoia";0,362917031443668;17,4200175092961;1;1
"288";"Plantae";"Tracheophyta";"Magnoliopsida";"Menyanthaceae";"Nymphoides";"Nymphoides peltata";0,360803681349363;17,3185767047694;2;2
"24";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus exulans/Rattus norvegicus/Rattus rattus";0,354852395225666;17,0329149708319;20;20
"1061";"Animalia";"Chordata";"Mammalia";"Cervidae";"Dama/Cervus/Muntiacus/Hydropotes";"Dama dama/Cervus nippon/Muntiacus reevesi/Hydropotes inermis";0,344776542948944;16,5492740615493;1;1
"12";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus dingo";0,343580233252714;16,4918511961303;12;12
"94";"Animalia";"Platyhelminthes";"Rhabditophora";"Geoplanidae";"Arthurdendyus";"Arthurdendyus triangulatus";0,342697760388882;16,4494924986664;1;1
"347";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Arundo";"Arundo donax";0,338024020029155;16,2251529613995;160;228
"217";"Animalia";"Arthropoda";"Insecta";"Cicadellidae";"Balclutha";"Balclutha rubrostriatus";0,337583780930084;16,204021484644;1;2
"66";"Animalia";"Chordata";"Mammalia";"Equidae";"Equus";"Equus asinus/Equus caballus";0,337259544123612;16,1884581179334;4;20
"131";"Animalia";"Arthropoda";"Arachnida/Insecta";"Aleyrodidae/Apidae/Aphididae/Tarsonemidae/Tephritidae/Thripidae";"Acarapis/Apis/Ceratitis/Diuraphis/Taeniothrips";"Acarapis woodi/Apis mellifera scutellata/Bemisia tabaci/Ceratitis capitata/Diuraphis noxia/Taeniothrips inconsequens";0,3358286763292;16,1197764638016;1;1
"821";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Ambrosia";"Ambrosia spp.";0,332035455946282;15,9377018854215;2;12
"945";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicaceae";"Lepidium";"Lepidium latifolium";0,3226739878759;15,4883514180432;6;18
"360";"Animalia";"Arthropoda";"Arachnida/Insecta";"Aphididae/Aleyrodidae/Tephritidae/Thripidae/Tarsonemidae";"Diuraphis/Bemisia/Ceratitis/Taeniothrips/Acarapis";"Diuraphis noxia/Bemisia tabaci/Ceratitis capitata/Taeniothrips inconsequens/Acarapis woodi";0,31815348283819;15,2713671762331;1;1
"109";"Animalia";"Chordata";"Aves";"Psittacidae";"Psittacula";"Psittacula krameri";0,308210967003169;14,7941264161521;13;18
"798";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Cinara";"Cinara spp.";0,297459364674006;14,2780495043523;1;3
"1044";"Animalia";"Arthropoda";"Insecta";"Chironomidae";"Chironomus/Glyptotenpides";"Chironomus crassicaudatus/Glyptotendipes paripes";0,294898440006417;14,155125120308;1;1
"409";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus setaceus";0,294351910903816;14,1288917233832;88;131
"50";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus familiaris/Canis lupus dingo";0,292106191514973;14,0210971927187;1;6
"213";"Animalia";"Arthropoda";"Insecta";"Dynastidae";"Papuana";"Papuana uninodis";0,29168205782755;14,0007387757224;2;8
"1034";"Plantae";"Chlorophyta";"Ulvophyceae";"Codiaceae";"Codium";"Codium fragile";0,288936637679015;13,8689586085927;2;2
"936";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea calcitrapa";0,287829721324399;13,8158266235711;3;3
"197";"Animalia";"Arthropoda";"Insecta";"Pyralidae";"Ephestia";"Ephestia kuehniella";0,28180957918493;13,5268598008766;6;6
"642";"Animalia";"Mollusca";"Bivalvia";"Corbiculidae";"Corbicula";"Corbicula fluminea";0,278854819749217;13,3850313479624;1;1
"398";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Opuntia";"Opuntia aurantiaca";0,277003576789036;13,2961716858737;10;41
"1022";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rosa";"Rosa rubiginosa";0,276513132166504;13,2726303439922;3;4
"909";"Animalia";"Arthropoda";"Insecta";"Drosophilidae";"Drosophila";"Drosophila suzukii";0,271954720477214;13,0538265829063;6;8
"74";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus/Hydropotes/Muntiacus";"Cervus nippon/Hydropotes inermis";0,262781582716381;12,6135159703863;2;2
"200";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Metopolophium";"Metopolophium dirhodum";0,253743118534928;12,1796696896765;1;1
"111";"Animalia";"Chordata";"Aves";"Psittacidae";"Myiopsitta";"Myiopsitta monachus";0,253257996459962;12,1563838300782;57;70
"52";"Animalia";"Chordata";"Mammalia";"Canidae/Leporidae/Suidae";"Canis/Oryctolagus/Sus";"Canis lupus spp./Oryctolagus cuniculus/Sus scrofa";0,249148967294799;11,9591504301503;1;1
"279";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Lagarosiphon";"Lagarosiphon major";0,246674296031836;11,8403662095281;11;32
"646";"Animalia";"Mollusca";"Bivalvia";"Mytilidae";"Limnoperna";"Limnoperna fortunei";0,242335361287015;11,6320973417767;12;38
"1079";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora infestans";0,231094807719897;11,0925507705551;1;1
"318";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Diverse/Unspecified";"Diverse/Unspecified";0,223028542320538;10,7053700313858;5;60
"14";"Animalia";"Chordata";"Mammalia";"Cercopithecidae";"Erythrocebus/Macaca";"Erythrocebus patas/Macaca mulatta";0,220789885850979;10,597914520847;4;20
"118";"Animalia";"Chordata";"Aves";"Anatidae";"Branta";"Branta canadensis";0,220208418448265;10,5700040855167;15;16
"1066";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginaceae";"Echium";"Echium plantagineum/Echium vulgare/Echium/italicum/Echium simplex";0,215945138664859;10,3653666559133;1;31
"538";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia sp.";0,207911551951356;9,97975449366509;65;70
"348";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Caesalpinia";"Caesalpinia decapetala";0,20040048085069;9,6192230808331;3;44
"673";"Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Rubus alceifolius/Ligustrum robustum/Acacia mearnsii/Hedychium gardnerianum/Clidemia hirta/Pycnonotus jocosus/Ulex europaeus/Fraxinus floribunda";0,200335232218064;9,61609114646705;1;6
"408";"Animalia";"Arthropoda";"Insecta";"Vespidae";"Vespa";"Vespa velutina";0,197020960136863;9,45700608656943;53;85
"355";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea diffusa/Centaurea maculosa";0,194979782373698;9,3590295539375;1;1
"655";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Egeria";"Egeria densa/Elodea nuttallii";0,194493587927385;9,33569222051447;5;12
"345";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia melanoxylon";0,189488052257897;9,09542650837907;12;53
"839";"Animalia";"Chordata";"Reptilia";"Dactyloidae";"Anolis";"Anolis carolinensis";0,188420757262291;9,04419634858997;23;37
"44";"Animalia";"Chordata";"Mammalia";"Canidae";"Canis";"Canis lupus familiaris";0,187352307061595;8,99291073895654;6;6
"783";"Fungi";"Ascomycota";"Dothideomycetes";"Didymellaceae";"Stagonosporopsis";"Stagonosporopsis ligulicola";0,186324377185354;8,94357010489699;1;2
"784";"Fungi";"Basidiomycota";"Pucciniomycetes";"Pucciniaceae";"Puccinia";"Puccinia horiana";0,186324377185354;8,94357010489699;1;2
"700";"Animalia";"Chordata";"Mammalia";"Cervidae";"Rusa";"Rusa timorensis russa";0,172924948480619;8,30039752706972;26;26
"305";"Chromista";"Ochrophyta";"Bacillariophyceae";"Gomphonemataceae";"Didymosphenia";"Didymosphenia geminata";0,170105946357836;8,16508542517613;13;13
"474";"Animalia";"Arthropoda";"Insecta";"Cynipidae";"Dryocosmus";"Dryocosmus kuriphilus";0,168721415820762;8,09862795939657;2;2
"87";"Animalia";"Chordata";"Mammalia";"Canidae";"Nyctereutes";"Nyctereutes procyonoides";0,166961073903734;8,01413154737922;3;6
"1021";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Pilosella";"Pilosella officinarum";0,166834887150444;8,00807458322132;2;3
"1050";"Plantae";"Tracheophyta";"Liliopsida";"Hydrocharitaceae";"Elodea/Lagarosiphon";"Elodea spp./Lagarosiphon spp.";0,16322407202635;7,83475545726479;1;1
"281";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum aquaticum";0,163138483819578;7,83064722333973;36;36
"979";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Polygonum";"Diverse/Unspecified";0,1595625;7,659;5;5
"45";"Animalia";"Chordata";"Mammalia";"Canidae";"Diverse/Unspecified";"Diverse/Unspecified";0,158663549837126;7,61585039218206;6;6
"856";"Chromista";"Oomycota";"Peronosporea";"Peronosporaceae";"Phytophthora";"Phytophthora megasperma";0,157868253370204;7,5776761617698;1;1
"958";"Animalia";"Mollusca";"Gastropoda";"Calyptraeidae";"Crepidula";"Crepidula porcellana";0,148219391666374;7,11453079998594;5;8
"82";"Animalia";"Chordata";"Mammalia";"Camelidae";"Camelus";"Camelus sp.";0,145677432491542;6,99251675959404;1;3
"425";"Animalia";"Arthropoda";"Insecta";"Dryophthoridae";"Cosmopolites";"Cosmopolites sordidus";0,145568541948014;6,98729001350466;1;1
"287";"Animalia";"Arthropoda";"Malacostraca";"Cambaridae";"Procambarus";"Procambarus clarkii";0,144501547137627;6,93607426260611;44;58
"283";"Animalia";"Mollusca";"Bivalvia";"Dreissenidae";"Mytilopsis";"Mytilopsis trautwineana";0,142311157170338;6,83093554417624;1;1
"240";"Animalia";"Arthropoda";"Insecta";"Erebidae";"Orgyia";"Orgyia pseudotsugata";0,13518021669755;6,48865040148242;2;2
"18";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus";"Cervus elaphus";0,134937276230664;6,47698925907189;2;2
"291";"Animalia";"Arthropoda";"Branchiopoda";"Cercopagidae";"Bythotrephes";"Bythotrephes longimanus";0,132981914067265;6,38313187522874;1;1
"330";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Populus";"Populus spp.";0,131437376907001;6,30899409153606;2;15
"874";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus spinifex";0,129966749429856;6,23840397263308;3;3
"196";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Elatobium";"Elatobium abietinum";0,129160896469772;6,19972303054907;1;1
"19";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus";"Diverse/Unspecified";0,124581752124575;5,97992410197959;9;13
"1048";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicaceae";"Pilosella";"Pilosella sp.";0,124476996403591;5,97489582737236;1;1
"674";"Animalia";"Chordata";"Mammalia";"Cervidae/Suidae";"Rusa/Sus";"Rusa timorensis russa/Sus scrofa";0,124214187206885;5,96228098593048;21;21
"1040";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Centaurea";"Centaurea virgata";0,121130645777249;5,81427099730797;2;2
"121";"Animalia";"Chordata";"Aves";"Anatidae";"Alopochen/Branta";"Alopochen aegyptiaca/Branta canadensis";0,120034996374899;5,76167982599516;2;2
"396";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Xanthium";"Xanthium strumarium";0,118267794281589;5,67685412551628;2;16
"665";"Animalia";"Chordata";"Mammalia";"Diverse/Unspecified";"Myocastor/Ondatra";"Myocastor coypus/Ondatra zibethicus";0,116818191618005;5,60727319766424;30;34
"946";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Onopordum";"Onopordum acanthium";0,113924195312352;5,46836137499292;4;4
"967";"Plantae";"Tracheophyta";"Magnoliopsida/Pinopsida";"Pinaceae/Proteaceae";"Pinus/Hakea";"Diverse/Unspecified";0,113538109897614;5,44982927508546;4;44
"1020";"Animalia";"Chordata";"Mammalia";"Cervidae";"Diverse/Unspecified";"Diverse/Unspecified";0,112414927748716;5,39591653193836;3;3
"459";"Animalia";"Chordata";"Actinopterygii";"Centrarchidae";"Micropterus";"Micropterus salmoides";0,109336526774765;5,24815328518872;21;30
"448";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Phragmites";"Phragmites australis";0,109289688157194;5,24590503154532;34;43
"1072";"Chromista";"Ochrophyta";"Dictyochophyaceae";"Florenciellaceae";"Pseudochattonella";"Pseudochattonella verruculosa";0,105043094418135;5,04206853207048;1;1
"124";"Animalia";"Chordata";"Aves";"Phasianidae";"Phasianus";"Phasianus colchicus";0,10374407335166;4,9797155208797;6;10
"29";"Animalia";"Chordata";"Mammalia";"Mustelidae/Muridae/Phalangeridae";"Mustela/Rattus/Trichosurus";"Mustela erminea//Trichosurus vulpecula";0,103680579005125;4,976667792246;1;1
"61";"Animalia";"Chordata";"Mammalia";"Erinaceidae/Felidae/Leporidae/Muridae/Mustelidae";"Erinaceus/Felis/Mus/Mustela/Oryctolagus/Rattus";"Erinaceus europaeus/Felis catus/Mus musculus/Mustela erminea/Oryctolagus cuniculus/Rattus norvegicus/Rattus exulans/Rattus rattus";0,101419033725627;4,86811361883008;1;3
"434";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Carpobrotus spp.";0,0965600182559896;4,6348808762875;2;12
"865";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Bruchus";"Bruchus pisorum";0,0963616068903674;4,62535713073763;2;11
"1043";"Plantae";"Tracheophyta";"Magnoliopsida";"Aizoaceae";"Carpobrotus";"Diverse/Unspecified";0,0958385267550625;4,600249284243;1;11
"219";"Animalia";"Arthropoda";"Insecta";"Curculionidae";"Acanthotomicus";"Acanthotomicus sp.";0,0958333333333333;4,6;1;1
"168";"Animalia";"Arthropoda";"Insecta";"Cerambycidae";"Anoplophora";"Anoplophora chinensis";0,0936966321096263;4,49743834126206;4;12
"1011";"Animalia";"Chordata";"Mammalia";"Echimyidae";"Myocaster";"Myocastor coypus";0,091;4,368;2;2
"463";"Animalia";"Mollusca";"Gastropoda";"Ampullariidae";"Pomacea";"Pomacea maculata";0,0890690802856059;4,27531585370908;13;13
"1045";"Animalia";"Chordata";"Amphibia";"Eleutherodactylidae";"Eleutherodactylus";"Eleutherodactylus planirostris";0,0889685242579871;4,27048916438338;1;1
"401";"Plantae";"Tracheophyta";"Magnoliopsida";"Haloragaceae";"Myriophyllum";"Myriophyllum sp.";0,0885539604567765;4,25059010192527;1;1
"819";"Plantae";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Hydrocotyle ranunculoides/Myriophyllum aquaticum/Ludwigia grandiflora";0,0859716439016638;4,12663890727986;1;3
"824";"Animalia";"Chordata";"Actinopterygii";"Tetraodontidae";"Lagocephalus";"Lagocephalus sceleratus";0,0811090792727349;3,89323580509128;7;12
"136";"Animalia/Plantae";"Chordata/Diverse";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0808975522552258;3,88308250825084;1;1
"386";"Plantae";"Tracheophyta";"Magnoliopsida";"Tamaricaceae";"Tamarix";"Tamarix aphylla";0,0805622590912821;3,86698843638154;10;14
"383";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia nilotica";0,0797715399884299;3,82903391944464;10;16
"294";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Aeromonadaceae";"Aeromonas";"Aeromonas salmonicida";0,0796781583787431;3,82455160217967;2;10
"39";"Animalia";"Chordata";"Mammalia";"Bovidae";"Diverse/Unspecified";"Diverse/Unspecified";0,0796442743062001;3,8229251666976;4;11
"1042";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus globulus/Eucalyptus camaldulensis";0,079001797618888;3,79208628570663;1;8
"300";"Animalia";"Arthropoda";"Malacostraca";"Cambaridae";"Orconectes";"Orconectes rusticus";0,0787134836086963;3,77824721321742;2;2
"613";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosaceae";"Rubus";"Rubus niveus";0,0786590877917394;3,77563621400349;7;25
"1041";"Animalia";"Chordata";"Mammalia";"Cervidae";"Dama/Cervus/Muntiacus";"Dama dama/Cervus nippon/Muntiacus reevesi";0,077362127210866;3,71338210612157;1;1
"178";"Animalia";"Arthropoda";"Insecta";"Culicidae";"Aedes";"Aedes albopictus/Aedes japonicus";0,0772473709723143;3,70787380667109;2;44
"431";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Baccharis";"Baccharis halimifolia";0,0772085850975506;3,70601208468243;29;57
"722";"Plantae";"Tracheophyta";"Magnoliopsida";"Onagraceae";"Ludwigia";"Ludwigia grandiflora/Ludwigia peploides";0,0732435445803422;3,51569013985643;3;9
"350";"Plantae";"Tracheophyta";"Magnoliopsida";"Salicaceae";"Salix";"Salix babylonica";0,071521239557548;3,4330194987623;8;49
"829";"Animalia";"Arthropoda";"Insecta";"Erirhinidae";"Lissorhoptrus";"Lissorhoptrus oryzophilus";0,0714759663891242;3,43084638667796;1;1
"68";"Animalia";"Chordata";"Mammalia";"Canidae/Felidae";"Felis/Vulpes";"Felis catus/Vulpes vulpes";0,0714398419704025;3,42911241457932;1;8
"363";"Animalia";"Chordata";"Actinopterygii";"Moronidae";"Morone";"Morone chrysops";0,0707007739640422;3,39363715027402;1;1
"1029";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiaceae";"Salvia";"Salvia aethiopis";0,068861637775682;3,30535861323274;2;2
"115";"Animalia";"Chordata";"Aves";"Accipitridae";"Aquila";"Aquila chrysaetos";0,0688137171475743;3,30305842308357;3;7
"1035";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Reynoutria/Koenigia/Persicaria";"Reynoutria sachalinensis/Koenigia polystachya/Persicaria acuminata/Reynoutria bohemica";0,0651458333333333;3,127;2;2
"828";"Animalia";"Chordata";"Actinopterygii";"Centrarchidae";"Micropterus/Lepomis";"Micropterus salmoides/Micropterus dolomieu/Lepomis macrochirus";0,0630452486819067;3,02617193673152;4;8
"1127";"Animalia";"Chordata";"Mammalia";"Cervidae";"Cervus";"Cervus nippon";0,0628681636660539;3,01767185597059;1;1
"35";"Animalia";"Chordata";"Mammalia";"Muridae";"Mus/Rattus";"Rattus sp./Mus sp.";0,0617194077007596;2,96253156963646;2;2
"205";"Animalia";"Arthropoda";"Insecta";"Aphididae";"Rhopalosiphum";"Rhopalosiphum padi";0,0600282385448338;2,88135545015202;1;1
"212";"Animalia";"Arthropoda";"Insecta";"Termitidae";"Nasutitermes";"Nasutitermes corniger";0,0599638865610562;2,8782665549307;2;4
"381";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Parkinsonia";"Parkinsonia aculeata";0,0598461082592664;2,87261319644479;14;16
"122";"Animalia";"Chordata";"Aves";"Corvidae";"Corvus";"Corvus splendens";0,0596007276719749;2,8608349282548;2;2
"67";"Animalia";"Chordata";"Mammalia";"Muridae/Mustelidae/Procyonidae";"Rattus/Neovison/Procyon";"Rattus rattus/Neovison vison/Procyon lotor";0,0586136635157527;2,81345584875613;1;1
"23";"Animalia";"Chordata";"Mammalia";"Muridae";"Rattus";"Rattus exulans/Rattus norvegicus";0,0539755373604588;2,59082579330202;6;6
"955";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculaceae";"Clematis";"Clematis vitalba";0,0532912314614693;2,55797911015053;4;11
"508";"Plantae";"Tracheophyta";"Magnoliopsida";"Euphorbiaceae";"Ricinus";"Ricinus communis";0,0532429391544659;2,55566107941436;23;42
"1033";"Animalia";"Mollusca";"Gastropoda";"Calyptraeidae/Muricidae";"Crepidula/Urosalpinx";"Crepidula porcellana/Urosalpinx cinerea";0,051746516133524;2,48383277440915;1;1
"861";"Viruses";"Pisuviricota";"Pisoniviricetes";"Secoviridae";"Nepovirus";"Tobacco ringspot virus";0,0499719113799489;2,39865174623755;1;1
"1031";"Plantae";"Tracheophyta";"Magnoliopsida/Polypodiopsida/Liliopsida";"Polygonaceae/Salviniaceae/Crassulaceae/Apiaceae/Hydrocharitaceae/Haloragaceae/Balsaminaceae/Apiaceae";"Reynoutria/Azolla/Crassula/Hydrocotyle/Elodea/Lagarosiphon/Myriophyllum/Impatiens/Heracleum";"Reynoutria japonica/Azolla filiculoides/Crassula helmsii/Hydrocotyle ranunculoides/Elodea canadensis/Elodea nuttallii/Lagarosiphon major/Myriophyllum aquaticum/Impatiens glandulifera/Heracleum mantegazzianum";0,0493974414193115;2,37107718812695;1;1
"1026";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Optunia/Cylindroptunia";"Diverse/Unspecified";0,0488012600566484;2,34246048271912;1;3
"1039";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Cenchrus";"Cenchrus echinatus";0,0484192365598501;2,3241233548728;1;24
"1074";"Plantae";"Tracheophyta";"Pinopsida";"Pinaceae";"Pinus";"Pinus pinaster/Pinus radiata";0,0472341706274459;2,2672401901174;1;14
"921";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Panicum";"Panicum repens";0,0469706774385886;2,25459251705225;4;24
"1030";"Animalia";"Arthropoda/Chordata";"Malacostraca/Actinopterygii";"Varunidae/Astacidae/Cyprinidae";"Eriocheir/Pacifastacus/Pseudorasbora";"Eriocheir sinensis/Pacifastacus leniusculus/Pseudorasbora parva";0,0463101284703858;2,22288616657852;1;1
"46";"Animalia";"Chordata";"Mammalia";"Suidae";"Sus";"Diverse/Unspecified";0,0436896746636149;2,09710438385352;6;6
"316";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Pueraria";"Pueraria montana var. lobata";0,0425850561732686;2,04408269631689;1;1
"362";"Animalia";"Mollusca/Arthropoda";"Bivalvia/Branchiopoda";"Dreissenidae/Cercopagidae";"Dreissena/Bythotrephes";"Dreissena polymorpha/Bythotrephes cederstroemi";0,0424204643784253;2,03618229016441;1;1
"727";"Animalia";"Arthropoda";"Insecta";"Crambidae";"Cydalima";"Cydalima perspectalis";0,0421549658754999;2,02343836202399;2;2
"935";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabaceae";"Acacia";"Acacia longifolia";0,041553716450731;1,99457838963509;6;29
"388";"Plantae";"Tracheophyta";"Liliopsida";"Poaceae";"Nassella";"Nassella neesiana";0,041317086063295;1,98322013103816;7;7
"1025";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Osteospermum";"Osteospermum moniliferum";0,0411090324185838;1,97323355609202;13;37
"672";"Plantae";"Tracheophyta";"Magnoliopsida";"Polygonaceae";"Reynoutria";"Reynoutria sp.";0,0403012461569648;1,93445981553431;32;37
"639";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Hieracium";"Hieracium sp.";0,0402259030183303;1,93084334487985;3;14
"475";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtaceae";"Eucalyptus";"Eucalyptus globulus";0,0395781136178593;1,89974945365725;5;13
"859";"Animalia";"Arthropoda";"Insecta";"Chrysomelidae";"Leptinotarsa";"Leptinotarsa decemlineata/Ceratocystis platani";0,0394043745648342;1,89140997911204;1;1
"686";"Plantae";"Tracheophyta";"Magnoliopsida";"Balsaminaceae";"Impatiens";"Impatiens glandulifera";0,0393827100243509;1,89037008116884;4;6
"234";"Animalia";"Arthropoda";"Insecta";"Dryophthoridae";"Calandra";"Calandra obscura";0,0390840588260308;1,87603482364948;1;1
"1073";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Xanthium";"Diverse/Unspecified";0,0390548650974744;1,87463352467877;1;20
"307";"Animalia";"Mollusca";"Bivalvia";"Dreissenidae";"Dreissena";"Diverse/Unspecified";0,0390223520408196;1,87307289795934;1;1
"884";"Plantae";"Tracheophyta";"Magnoliopsida";"Asteraceae";"Solidago";"Solidago canadensis";0,0388495547610036;1,86477862852817;1;1
"445";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Cyprinus";"Cyprinus carpio";0,0387319161150891;1,85913197352428;16;16
"1027";"Animalia";"Mollusca";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0376603183417306;1,80769528040307;1;1
"107";"Animalia";"Chordata";"Reptilia";"Diverse/Unspecified";"Diverse/Unspecified";"Diverse/Unspecified";0,0373427809029333;1,7924534833408;4;11
"356";"Animalia";"Chordata";"Actinopterygii";"Salmonidae";"Salmo";"Salmo trutta";0,0371185426380878;1,78169004662822;2;10
"838";"Animalia";"Chordata";"Mammalia";"Cercopithecidae";"Macaca";"Macaca mulatta";0,0370887330277256;1,78025918533083;6;18
"418";"Plantae";"Tracheophyta";"Magnoliopsida";"Scrophulariaceae";"Buddleja";"Buddleja davidii";0,0367194028014298;1,76253133446863;4;4
"267";"Animalia";"Chordata";"Actinopterygii";"Cyprinidae";"Pseudorasbora";"Pseudorasbora parva";0,0363792644190114;1,74620469211255;6;6
"93";"Animalia";"Mollusca";"Gastropoda";"Achatinidae";"Lissachatina";"Achatina fulica";0,0358133489622075;1,71904075018596;1;11
"412";"Animalia";"Chordata";"Reptilia";"Emydidae";"Trachemys";"Trachemys scripta";0,0356324700021576;1,71035856010357;69;76
"384";"Plantae";"Tracheophyta";"Magnoliopsida";"Apocynaceae";"Cryptostegia";"Cryptostegia grandiflora";0,035367573287025;1,6976435177772;10;12
"367";"Plantae";"Tracheophyta";"Magnoliopsida";"Melastomataceae";"Clidemia";"Clidemia hirta";0,0353503869820211;1,69681857513701;1;11
"429";"Plantae";"Tracheophyta";"Magnoliopsida";"Cactaceae";"Cylindropuntia";"Cylindropuntia rosea";0,0340801591132175;1,63584763743444;125;127
"269";"Animalia";"Mollusca";"Bivalvia";"Ostreidae";"Magallana";"Magallana gigas";0,0337090612028154;1,61803493773514;1;1
"290";"Plantae";"Tracheophyta";"Magnoliopsida";"Cabombaceae";"Cabomba";"Cabomba caroliniana";0,0336893882985376;1,61709063832981;6;6
"615";"Animalia";"Arthropoda";"Insecta";"Muscidae";"Philornis";"Philornis downsi";0,0332687291666667;1,596899;1;5
"28";"Animalia";"Chordata";"Mammalia";"Mustelidae";"Mustela";"Mustela erminea";0,0331751996790791;1,5924095845958;3;3
